0;0;32;162-242;0
0;1;44;243-323;0
0;2;44;162-242;0
0;3;44;324-404;1
1;0;23;138-218;1
1;1;-;
1;2;23;57-137;0
1;3;23;219-299;1
2;0;23;57-137;0
2;1;-;
2;2;22;0-80;1
2;3;23;300-380;1
3;0;22;0-80;1
3;1;12;0-80;0
3;2;4;0-80;1
3;3;23;381-461;1
4;0;32;81-161;0
4;1;44;324-404;1
4;2;44;81-161;0
4;3;45;381-461;0
5;0;44;162-242;0
5;1;44;405-485;1
5;2;44/45;486-509/0-56;1
5;3;45;300-380;0
6;0;22/23;486-509/0-56;0
6;1;23;300-380;1
6;2;22;81-161;1
6;3;22;405-485;0
7;0;22;81-161;1
7;1;23;381-461;1
7;2;4;81-161;1
7;3;22;324-404;0
8;0;32;0-80;0
8;1;45;381-481;0
8;2;44;0-80;0
8;3;36;0-80;1
9;0;44;0-80;0
9;1;45;300-380;0
9;2;45;57-137;1
9;3;36;81-161;1
10;0;45;57-137;1
10;1;45;219-299;0
10;2;45;138-218;1
10;3;36;162-242;1
11;0;22;161-242;1
11;1;22;324-404;0
11;2;4;162-242;1
11;3;22;243-323;1
