0;0;10/11;486-509/0-56;1
0;1;19;219-299;0
0;2;10;405-485;0
0;3;15;381-461;0
1;0;10;405-485;0
1;1;19;138-218;0
1;2;8/9;486-509/0-56;1
1;3;15;300-380;0
2;0;8/9;486-509/0-56;1
2;1;19;57-137;0
2;2;8;405-485;0
2;3;15;219-299;0
3;0;8;405-485;0
3;1;18/19;486-509/0-56;0
3;2;18;405-485;0
3;3;15;138-218;0
4;0;11;57-137;1
4;1;15;381-461;0
4;2;10;324-404;0
4;3;14;324-404;1
5;0;10;324-404;0
5;1;15;300-380;0
5;2;9;57-137;1
5;3;14;405-485;1
6;0;9;57-137;1
6;1;15;219-299;0
6;2;8;324-404;0
6;3;14/15;486-509/0-56;1
7;0;8;324-404;0
7;1;15;138-218;1
7;2;18;324-404;0
7;3;15;57-137;1
8;0;11;138-218;1
8;1;14;324-404;1
8;2;10;243-323;0
8;3;14;243-323;0
9;0;10;243-323;0
9;1;14;405-485;1
9;2;9;138-218;1
9;3;14;162-242;0
10;0;9;138-218;1
10;1;14/15;486-509/0-56;1
10;2;8;243-323;0
10;3;14;81-161;0
11;0;8;243-323;0
11;1;15;57-137;0
11;2;18;243-323;0
11;3;14;0-80;0
12;0;11;219-299;1
12;1;14;243-323;0
12;2;10;162-242;0
12;3;-;
13;0;10;162-242;0
13;1;14;162-242;0
13;2;9;219-299;1
13;3;-;
14;0;9;219-299;1
14;1;14;81-161;0
14;2;8;162-242;0
14;3;-;
15;0;8;162-242;0
15;1;14;0-80;0
15;2;18;162-242;0
15;3;-;
16;0;11;300-380;1
16;1;-;
16;2;10;81-161;0
16;3;-;
17;0;10;81-161;0
17;1;-;
17;2;9;300-380;1
17;3;-;
18;0;9;300-380;1
18;1;-;
18;2;8;81-161;0
18;3;-;
19;0;8;81-161;0
19;1;-;
19;2;18;81-161;0
19;3;-;
20;0;11;381-461;1
20;1;-;
20;2;10;0-80;0
20;3;-;
21;0;10;0-80;0
21;1;-;
21;2;9;381-461;1
21;3;-;
22;0;9;381-461;1
22;1;-;
22;2;8;0-80;0
22;3;-;
23;0;8;0-80;0
23;1;-;
23;2;18;0-80;0
23;3;12;0-80;0
